what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292184860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292184891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292184970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292190110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292193095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292193110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292193157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292196188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292196579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292196595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292196673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292231204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292232485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292255985
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1373292258345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292264141
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292264173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292264204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292267876
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1373292267907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292271063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292272735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292274188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1373292280251
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1373292282470
